EmployeeID,Name,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,YearsAtCompany,YearsInCurrentRole,NumCompaniesWorked,DistanceFromHome,BusinessTravel,MonthlyIncome,Currency,PercentSalaryHike,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,OverTime,TrainingTimesLastYear,RecruitmentSource,RemoteWorkType,ProjectsHandled,AbsenteeismDays,YearsSinceLastPromotion,NumPromotions,ManagerRating,Certifications,TeamSize,Attrition
294,Sara Davis,35,Male,Married,IT,IT Support,Master's,Human Resources,3,2,1,1,Travel_Rarely,22934,INR,19,4,4,2,3,No,3,Referral,Hybrid,4,6,1,1,Good,0,22,No
295,Priya Anderson,32,Male,Single,IT,Software Engineer,Bachelor's,Life Sciences,14,6,5,1,Travel_Rarely,134597,INR,11,3,2,3,3,No,2,Referral,On-site,14,4,8,4,Needs Improvement,1,8,No
296,Neha Brown,37,Male,Married,Finance,Financial Analyst,Bachelor's,Other,0,0,0,24,Travel_Rarely,29345,INR,22,3,2,2,4,No,4,Referral,Hybrid,5,5,0,0,Needs Improvement,4,24,No
297,Robert Lee,55,Female,Married,Research & Development,Manufacturing Director,Master's,Human Resources,2,0,1,9,Travel_Rarely,180550,INR,12,3,3,1,3,Yes,5,LinkedIn,Hybrid,5,9,1,1,Good,3,23,No
298,Nia Ali,45,Male,Divorced,Research & Development,Manufacturing Director,Bachelor's,Medical,0,0,2,23,Travel_Rarely,151650,INR,17,3,3,2,2,No,1,LinkedIn,On-site,4,7,0,0,Good,0,21,No
299,Chen Ali,44,Male,Married,Sales,Sales Manager,Master's,Marketing,2,1,3,2,Travel_Rarely,79933,INR,16,3,4,4,2,Yes,4,Job Portal,On-site,6,9,0,1,Good,3,5,No
300,Maria Brown,23,Male,Married,Research & Development,R&D Manager,Bachelor's,Marketing,5,2,1,1,Travel_Frequently,144001,INR,22,4,3,1,2,Yes,0,Consultancy,On-site,6,3,1,2,Good,0,9,No
301,Robert Martin,51,Female,Single,IT,Software Engineer,PhD,Life Sciences,1,0,2,21,Travel_Rarely,49100,INR,11,4,4,4,4,No,3,Walk-in,On-site,4,8,1,0,Good,2,15,No
302,Nia Wilson,27,Female,Married,Research & Development,Research Scientist,Bachelor's,Other,4,3,4,15,Travel_Rarely,56870,INR,20,3,4,1,4,Yes,5,Referral,Hybrid,5,4,2,1,Excellent,2,14,No
303,Priya Smith,51,Male,Single,Marketing,Marketing Executive,Bachelor's,Medical,4,3,5,11,Travel_Rarely,25711,INR,17,3,3,2,4,Yes,5,Referral,Hybrid,11,6,0,1,Average,1,8,No
304,Maria Lee,36,Male,Married,Research & Development,Research Scientist,Bachelor's,Human Resources,5,4,1,23,Travel_Rarely,58632,INR,11,3,4,3,3,Yes,0,Job Portal,On-site,6,7,1,1,Good,1,19,No
305,Sofia Sharma,37,Female,Married,Research & Development,Manufacturing Director,Bachelor's,Marketing,1,0,2,23,Travel_Rarely,167009,INR,14,3,3,2,3,No,3,Campus Hiring,Remote,8,7,1,0,Average,1,24,No
306,David Brown,34,Male,Married,Marketing,Marketing Executive,Bachelor's,Technical Degree,4,3,3,29,Travel_Rarely,28836,INR,15,3,4,3,2,No,1,Referral,On-site,8,6,4,1,Average,0,11,No
307,Yusuf Kim,37,Male,Married,Finance,Financial Analyst,Master's,Technical Degree,2,1,2,12,Travel_Rarely,39752,INR,16,3,4,2,3,No,3,Referral,On-site,5,4,2,0,Average,0,8,No
308,Emma Johnson,37,Female,Divorced,Sales,Sales Executive,Master's,Human Resources,0,0,2,27,Travel_Rarely,23096,INR,11,4,3,4,1,Yes,4,LinkedIn,On-site,6,3,0,0,Good,1,24,Yes
309,Nia Gupta,42,Female,Single,Research & Development,Laboratory Technician,High School,Technical Degree,8,3,2,10,Travel_Rarely,20627,INR,14,3,1,4,1,No,1,Walk-in,Hybrid,9,9,0,2,Excellent,0,4,No
310,Ahmed Patel,33,Male,Single,Sales,Sales Manager,Bachelor's,Other,5,3,3,9,Non-Travel,84744,INR,24,3,3,3,2,No,1,Consultancy,Hybrid,4,4,0,2,Needs Improvement,1,8,No
311,Emma Martin,37,Female,Divorced,Human Resources,HR Executive,PhD,Medical,5,4,2,15,Travel_Frequently,31140,INR,24,3,1,3,4,No,0,Consultancy,Remote,5,6,1,1,Good,2,3,No
312,Lucy Patel,20,Male,Married,Sales,Sales Representative,Bachelor's,Medical,2,1,2,9,Travel_Rarely,19028,INR,11,3,2,4,3,No,4,Job Portal,On-site,4,5,0,1,Good,0,18,No
313,Ben Lee,30,Male,Single,IT,IT Support,High School,Other,1,0,3,10,Travel_Rarely,18464,INR,23,3,4,1,3,No,2,Job Portal,Hybrid,6,5,1,0,Good,4,7,No
314,Mary Anderson,44,Male,Married,Research & Development,Research Scientist,Bachelor's,Life Sciences,4,3,1,15,Travel_Frequently,55815,INR,19,3,3,1,3,Yes,0,LinkedIn,On-site,9,4,2,2,Average,1,14,No
315,Fatima Johnson,33,Male,Married,Marketing,Marketing Executive,Bachelor's,Human Resources,0,0,3,22,Travel_Rarely,22976,INR,16,3,1,3,1,Yes,5,Campus Hiring,Hybrid,2,7,0,1,Average,0,8,Yes
316,Ben Gupta,36,Male,Married,IT,Software Engineer,Bachelor's,Technical Degree,0,0,5,14,Travel_Rarely,35639,INR,18,4,4,3,1,No,5,Job Portal,Hybrid,6,6,0,0,Good,2,12,No
317,Olga Martin,42,Female,Single,Sales,Sales Manager,Bachelor's,Human Resources,1,0,4,8,Non-Travel,63768,INR,18,3,4,3,3,No,0,Consultancy,On-site,2,5,1,1,Average,0,15,No
318,Raj Johnson,24,Female,Married,IT,System Administrator,Master's,Human Resources,0,0,5,26,Travel_Rarely,26126,INR,12,3,1,3,3,No,3,Referral,On-site,2,3,0,1,Good,1,6,No
319,Raj Rodriguez,52,Female,Married,Research & Development,Laboratory Technician,Master's,Marketing,7,5,1,21,Travel_Rarely,24857,INR,21,4,4,4,4,Yes,1,Campus Hiring,On-site,6,9,3,2,Good,0,10,No
320,Carlos Rodriguez,41,Female,Single,Finance,Financial Analyst,Bachelor's,Medical,11,4,2,7,Travel_Rarely,60068,INR,14,3,3,1,1,No,4,Job Portal,Hybrid,7,4,0,4,Good,0,16,No
321,Mary Martin,27,Male,Single,IT,System Administrator,Bachelor's,Marketing,2,1,2,19,Travel_Frequently,29985,INR,16,3,3,4,2,No,2,Consultancy,Hybrid,8,6,0,1,Average,1,6,No
322,Neha Smith,37,Male,Married,Research & Development,R&D Manager,PhD,Life Sciences,19,8,2,28,Travel_Frequently,256482,INR,20,3,4,1,4,Yes,2,Walk-in,On-site,14,4,0,5,Good,3,22,No
323,James Brown,42,Male,Married,Marketing,Marketing Manager,Master's,Technical Degree,24,13,5,27,Non-Travel,152249,INR,19,3,1,2,2,No,5,Referral,Hybrid,14,8,0,5,Good,2,14,No
324,Neha Davis,49,Male,Single,Finance,Financial Analyst,Bachelor's,Life Sciences,4,2,2,10,Travel_Frequently,43979,INR,18,3,2,2,3,No,3,LinkedIn,On-site,5,7,4,1,Good,2,18,No
325,Ravi Clark,29,Female,Married,Research & Development,Manufacturing Director,Master's,Medical,1,0,2,12,Travel_Rarely,168734,INR,11,3,3,2,3,Yes,2,Walk-in,Hybrid,5,4,1,0,Good,2,17,No
326,Lucy Clark,43,Female,Married,Marketing,Marketing Executive,Bachelor's,Other,1,0,2,2,Travel_Rarely,24132,INR,23,3,2,3,2,No,2,Campus Hiring,On-site,6,8,1,1,Average,4,14,No
327,Nia Lee,32,Male,Single,IT,System Administrator,Master's,Other,14,4,0,18,Non-Travel,68525,INR,23,3,4,2,3,Yes,4,Campus Hiring,On-site,11,5,0,5,Good,1,7,No
328,Neha Sharma,28,Female,Divorced,Marketing,Marketing Executive,Bachelor's,Technical Degree,10,8,5,25,Travel_Rarely,37308,INR,22,3,2,3,2,Yes,1,Job Portal,On-site,9,6,1,3,Excellent,0,6,No
329,Ahmed Brown,60,Female,Married,Research & Development,Research Scientist,Bachelor's,Marketing,0,0,2,19,Travel_Rarely,41090,INR,15,3,3,3,2,Yes,2,Walk-in,On-site,4,9,0,0,Average,1,22,Yes
330,James Sharma,43,Male,Married,Research & Development,Laboratory Technician,Bachelor's,Marketing,5,4,1,12,Travel_Rarely,19894,INR,19,3,4,4,4,Yes,3,Job Portal,On-site,6,6,4,2,Good,0,19,No
331,Kevin Khan,29,Male,Single,Research & Development,Research Scientist,PhD,Other,4,2,2,17,Travel_Rarely,67525,INR,24,3,4,1,4,No,2,LinkedIn,Remote,4,4,1,1,Average,1,3,No
332,Yusuf Davis,46,Male,Married,Finance,Financial Analyst,Master's,Marketing,3,1,4,21,Travel_Rarely,43689,INR,16,3,3,2,3,No,3,Job Portal,On-site,1,4,3,1,Average,1,3,No
333,Sara Brown,33,Male,Married,Sales,Sales Manager,High School,Medical,12,7,2,10,Travel_Rarely,104571,INR,16,4,4,4,4,No,1,LinkedIn,On-site,7,5,1,4,Good,0,5,No
334,Tom Lee,34,Male,Single,Human Resources,HR Manager,Master's,Medical,7,3,2,25,Travel_Rarely,96135,INR,23,3,4,4,2,No,5,Referral,Hybrid,8,12,1,3,Average,1,19,No
335,Chen Patel,26,Female,Married,IT,System Administrator,Bachelor's,Life Sciences,6,2,2,15,Travel_Frequently,39416,INR,15,4,3,3,4,No,2,Campus Hiring,Remote,8,6,1,2,Excellent,1,13,No
336,Nia Gupta,22,Male,Married,Marketing,Marketing Manager,High School,Marketing,4,1,1,15,Non-Travel,84171,INR,16,3,3,3,3,No,5,LinkedIn,On-site,8,4,0,2,Good,5,22,No
337,Wei Kumar,41,Male,Divorced,Sales,Sales Representative,PhD,Life Sciences,0,0,4,16,Non-Travel,19247,INR,15,3,2,1,3,No,5,Campus Hiring,On-site,2,4,0,1,Good,3,19,No
338,Ben Clark,38,Female,Single,Human Resources,HR Manager,Master's,Technical Degree,13,4,0,27,Travel_Frequently,140040,INR,16,4,4,3,2,No,3,LinkedIn,Hybrid,15,8,6,5,Good,1,15,No
339,Lucy Ali,20,Female,Married,IT,IT Support,Bachelor's,Human Resources,1,0,2,19,Travel_Rarely,18431,INR,21,3,4,2,2,No,4,Referral,On-site,2,9,1,0,Average,1,17,No
340,John Gupta,40,Male,Married,Sales,Sales Representative,High School,Medical,6,2,1,3,Travel_Rarely,20466,INR,23,3,2,2,2,Yes,3,Job Portal,Hybrid,4,7,4,2,Good,1,20,Yes
341,Aisha Nair,44,Female,Divorced,Sales,Sales Manager,Master's,Other,11,4,6,6,Travel_Rarely,127541,INR,12,3,2,3,1,No,4,Consultancy,Hybrid,10,11,6,3,Good,0,12,No
342,Nia Clark,34,Female,Married,Finance,Financial Analyst,Master's,Other,8,5,0,22,Travel_Rarely,61265,INR,23,3,4,1,4,Yes,3,Job Portal,On-site,6,4,2,2,Average,4,11,No
343,Chen Khan,29,Male,Married,Sales,Sales Manager,Master's,Technical Degree,0,0,1,6,Travel_Rarely,68840,INR,24,3,2,3,3,No,3,Referral,Hybrid,7,5,0,1,Excellent,2,20,No
344,Amit Wilson,38,Female,Married,Marketing,Marketing Executive,Bachelor's,Human Resources,5,1,3,22,Travel_Rarely,29716,INR,15,3,2,1,3,Yes,3,Consultancy,Hybrid,4,7,3,2,Average,1,5,No
345,Ahmed Ali,45,Male,Married,Research & Development,Research Scientist,PhD,Marketing,0,0,1,17,Travel_Rarely,47970,INR,13,4,4,1,3,No,3,LinkedIn,On-site,5,6,0,0,Average,1,8,No
346,Anjali Johnson,35,Male,Single,Research & Development,Manufacturing Director,Bachelor's,Other,0,0,2,3,Travel_Rarely,149974,INR,17,3,1,4,1,No,0,LinkedIn,Hybrid,6,3,0,0,Good,1,13,Yes
347,Wei Gupta,30,Female,Single,IT,Software Engineer,Bachelor's,Human Resources,12,10,5,25,Travel_Rarely,126010,INR,13,3,4,1,2,No,5,LinkedIn,Hybrid,12,8,2,4,Good,0,17,No
348,Neha Anderson,46,Male,Single,Sales,Sales Executive,Bachelor's,Human Resources,1,0,0,18,Travel_Rarely,22878,INR,13,3,4,3,4,No,5,Referral,On-site,3,7,0,0,Good,2,6,No
349,Ben Khan,41,Male,Single,Human Resources,HR Recruiter,Master's,Medical,0,0,1,10,Travel_Rarely,20420,INR,21,3,4,2,3,No,4,LinkedIn,On-site,2,7,0,1,Average,4,19,No
350,Tom Rodriguez,29,Female,Single,Finance,Accountant,Bachelor's,Human Resources,4,1,1,26,Travel_Rarely,26174,INR,13,4,4,2,2,No,5,Referral,On-site,11,5,3,2,Average,0,17,No
351,Chen Davis,35,Female,Married,IT,Data Analyst,Bachelor's,Human Resources,1,0,6,13,Travel_Rarely,36131,INR,23,4,4,4,3,No,0,Job Portal,Hybrid,4,6,1,0,Excellent,0,15,No
352,Anjali Brown,33,Female,Single,Sales,Sales Manager,Master's,Technical Degree,1,0,2,11,Travel_Rarely,67009,INR,22,3,4,4,4,No,5,Walk-in,Hybrid,6,4,1,1,Average,2,17,No
353,Kevin Kumar,44,Male,Married,Sales,Sales Executive,Bachelor's,Other,4,3,2,5,Travel_Rarely,28775,INR,12,3,4,4,3,No,0,Campus Hiring,Hybrid,4,4,1,1,Excellent,2,11,No
354,Emma Kim,43,Female,Married,Human Resources,HR Executive,Bachelor's,Technical Degree,12,6,0,18,Travel_Rarely,33772,INR,11,3,4,4,3,No,5,Consultancy,On-site,11,5,1,4,Needs Improvement,1,18,No
355,Kevin Khan,60,Male,Divorced,Research & Development,Research Scientist,High School,Other,2,1,1,4,Travel_Frequently,42940,INR,16,4,4,3,3,No,3,Campus Hiring,On-site,10,8,0,1,Average,2,17,No
356,Neha Ali,37,Male,Married,Research & Development,Laboratory Technician,PhD,Marketing,7,5,4,15,Travel_Rarely,26078,INR,16,4,3,1,4,No,3,Consultancy,On-site,11,1,2,2,Average,0,11,No
357,Ravi Sharma,33,Female,Married,IT,System Administrator,Bachelor's,Other,5,4,0,10,Travel_Rarely,40260,INR,17,4,2,1,1,No,2,Referral,Hybrid,6,7,2,2,Good,0,8,No
358,Nia Patel,37,Male,Married,Sales,Sales Executive,High School,Medical,0,0,2,1,Travel_Rarely,19716,INR,17,3,2,2,4,Yes,0,LinkedIn,On-site,3,7,0,1,Needs Improvement,2,17,Yes
359,Priya Martin,39,Male,Married,Sales,Sales Executive,Bachelor's,Technical Degree,7,5,1,17,Non-Travel,31620,INR,22,3,4,1,3,Yes,1,LinkedIn,On-site,11,7,5,3,Average,4,8,No
360,Kevin Khan,32,Female,Married,Human Resources,HR Manager,Bachelor's,Technical Degree,4,1,2,14,Travel_Rarely,78188,INR,12,3,3,4,3,No,0,Job Portal,Hybrid,5,6,0,2,Good,1,5,No
361,Ravi Clark,20,Female,Married,Marketing,Marketing Manager,Master's,Marketing,2,1,2,13,Travel_Rarely,87143,INR,23,3,4,2,3,Yes,2,Referral,Hybrid,4,5,0,1,Needs Improvement,0,21,No
362,Carlos Wilson,41,Female,Divorced,Research & Development,Manufacturing Director,Master's,Marketing,2,1,1,8,Travel_Rarely,201192,INR,12,3,4,4,3,Yes,0,LinkedIn,On-site,7,9,0,0,Good,3,8,No
363,David Anderson,24,Female,Divorced,Human Resources,HR Manager,PhD,Human Resources,0,0,3,11,Travel_Rarely,73280,INR,16,3,4,3,4,No,5,Walk-in,On-site,5,6,0,1,Average,0,3,No
364,Kevin Anderson,48,Male,Married,Research & Development,Manufacturing Director,Master's,Technical Degree,1,0,1,4,Travel_Frequently,187608,INR,12,3,2,4,3,No,0,LinkedIn,On-site,1,3,0,1,Good,1,8,No
365,Neha Anderson,34,Female,Married,IT,Data Analyst,Bachelor's,Medical,0,0,0,15,Travel_Frequently,31235,INR,24,3,4,2,4,Yes,2,Walk-in,Hybrid,5,8,0,0,Average,2,15,No
366,David Khan,42,Female,Single,Sales,Sales Representative,Bachelor's,Other,9,3,3,3,Travel_Rarely,25040,INR,21,3,2,1,3,Yes,2,LinkedIn,On-site,8,5,0,4,Good,2,18,No
367,Sofia Patel,35,Male,Married,Research & Development,Manufacturing Director,Bachelor's,Life Sciences,2,1,1,27,Travel_Rarely,182791,INR,16,3,4,2,2,Yes,4,Walk-in,On-site,8,4,2,1,Good,2,20,No
368,Maria Nair,36,Male,Married,Human Resources,HR Executive,High School,Life Sciences,5,3,1,18,Travel_Rarely,24425,INR,17,3,2,3,3,No,0,Job Portal,Remote,8,5,3,1,Average,0,10,No
369,Grace Sharma,36,Male,Divorced,Research & Development,Laboratory Technician,Bachelor's,Marketing,5,4,0,6,Non-Travel,19432,INR,16,3,3,4,4,Yes,4,LinkedIn,Remote,6,9,1,1,Good,1,6,No
370,Robert Martin,37,Male,Married,Sales,Sales Manager,Bachelor's,Human Resources,4,2,5,13,Travel_Rarely,79147,INR,16,4,3,3,1,Yes,3,Campus Hiring,Hybrid,4,8,3,1,Average,3,8,Yes
371,Sofia Khan,36,Male,Married,Research & Development,Laboratory Technician,Bachelor's,Medical,13,8,3,26,Travel_Rarely,28419,INR,16,3,3,3,4,No,5,Job Portal,On-site,10,7,3,4,Good,1,7,No
372,Wei Wilson,39,Male,Single,Marketing,Marketing Executive,Bachelor's,Life Sciences,2,1,1,8,Travel_Rarely,25028,INR,17,3,3,4,2,No,0,LinkedIn,On-site,2,6,0,1,Needs Improvement,0,5,No
373,Ahmed Martin,33,Male,Married,Research & Development,R&D Manager,Master's,Marketing,1,0,1,24,Travel_Rarely,114680,INR,13,3,4,1,3,No,3,Job Portal,Hybrid,2,10,1,1,Average,2,17,No
374,Kevin Khan,31,Female,Married,Human Resources,HR Executive,Bachelor's,Human Resources,12,9,3,14,Travel_Rarely,32730,INR,18,3,3,3,3,No,0,Job Portal,Remote,15,3,5,4,Average,2,18,No
375,John Garcia,25,Male,Married,Research & Development,R&D Manager,Bachelor's,Technical Degree,2,1,2,27,Travel_Rarely,120329,INR,23,3,3,4,2,Yes,4,Job Portal,On-site,2,4,2,1,Average,2,3,No
376,Chen Anderson,43,Male,Married,Sales,Sales Manager,Bachelor's,Other,1,0,2,23,Non-Travel,66457,INR,20,3,2,4,4,No,0,Walk-in,Hybrid,3,7,1,1,Excellent,0,11,No
377,John Ali,40,Male,Married,Research & Development,R&D Manager,Bachelor's,Life Sciences,3,0,0,6,Travel_Frequently,130059,INR,16,3,4,3,3,No,3,LinkedIn,On-site,5,5,3,1,Average,2,11,No
378,Sara Lee,34,Male,Married,Sales,Sales Representative,Bachelor's,Medical,13,5,1,29,Non-Travel,31418,INR,14,3,3,3,3,Yes,4,Consultancy,On-site,7,5,0,5,Excellent,0,3,No
379,Lucy Patel,31,Female,Married,Marketing,Marketing Executive,Bachelor's,Human Resources,1,0,0,10,Travel_Rarely,24553,INR,23,3,4,1,3,No,0,Job Portal,Hybrid,3,8,1,0,Good,2,24,No
380,Wei Sharma,29,Female,Divorced,Sales,Sales Executive,Master's,Life Sciences,2,1,2,29,Travel_Rarely,27932,INR,15,4,3,4,1,No,2,Consultancy,Remote,5,6,1,0,Good,6,8,No
381,Ravi Kim,47,Male,Divorced,Finance,Accountant,Bachelor's,Other,2,1,3,16,Travel_Frequently,23421,INR,12,3,3,2,3,Yes,2,Campus Hiring,Remote,4,4,2,1,Excellent,0,12,No
382,Neha Lee,47,Female,Single,Research & Development,Research Scientist,High School,Other,1,0,3,12,Non-Travel,40313,INR,16,3,4,3,2,Yes,4,Referral,Hybrid,8,5,1,0,Average,1,12,Yes
383,Tom Nair,23,Male,Married,Sales,Sales Manager,PhD,Life Sciences,1,0,2,20,Travel_Frequently,81381,INR,14,3,3,4,3,No,1,LinkedIn,Remote,3,6,0,1,Average,2,11,No
384,Ben Patel,31,Male,Single,Sales,Sales Representative,Bachelor's,Technical Degree,0,0,1,27,Travel_Rarely,16195,INR,22,3,3,4,3,No,1,Walk-in,Remote,5,8,0,1,Good,0,16,No
385,Fatima Wilson,41,Female,Married,Marketing,Marketing Executive,Bachelor's,Marketing,10,4,0,27,Travel_Rarely,35582,INR,20,3,2,2,3,No,3,LinkedIn,On-site,11,4,5,4,Needs Improvement,3,22,No
386,Wei Lee,38,Male,Married,IT,System Administrator,Master's,Technical Degree,9,3,4,5,Travel_Frequently,56182,INR,23,3,3,3,1,Yes,0,Referral,On-site,12,8,1,4,Good,4,10,Yes
387,Wei Nair,29,Female,Single,IT,Software Engineer,Master's,Technical Degree,1,0,3,17,Non-Travel,43428,INR,19,3,3,2,2,No,4,LinkedIn,On-site,6,5,1,1,Excellent,1,6,No
388,Robert Clark,39,Female,Married,Marketing,Marketing Executive,Bachelor's,Medical,0,0,2,21,Travel_Rarely,23281,INR,17,3,1,3,2,Yes,5,LinkedIn,On-site,3,6,0,0,Good,1,23,Yes
389,Ahmed Kim,21,Male,Married,Research & Development,Manufacturing Director,Bachelor's,Life Sciences,3,1,4,9,Travel_Rarely,173860,INR,14,3,3,3,2,No,5,LinkedIn,Remote,4,7,0,2,Average,2,3,No
390,Linda Kumar,20,Female,Single,Marketing,Marketing Executive,PhD,Life Sciences,2,0,0,18,Non-Travel,29732,INR,11,3,2,4,4,Yes,4,Consultancy,On-site,3,4,0,0,Good,1,17,No
391,Lucy Nair,46,Male,Married,Research & Development,Research Scientist,Master's,Technical Degree,5,2,0,8,Travel_Rarely,64024,INR,22,3,4,4,3,Yes,1,Referral,On-site,7,7,0,1,Good,4,9,No
392,Chen Ali,43,Female,Single,Research & Development,Manufacturing Director,Bachelor's,Other,4,2,1,4,Travel_Rarely,204235,INR,14,3,3,4,3,No,5,Walk-in,Hybrid,6,8,2,1,Good,1,24,No
393,James Martin,46,Male,Single,Marketing,Marketing Manager,Bachelor's,Other,5,4,1,25,Non-Travel,92245,INR,21,3,3,1,4,No,2,Campus Hiring,Remote,3,6,2,1,Excellent,2,12,No
394,Neha Davis,36,Male,Married,Sales,Sales Executive,Master's,Technical Degree,2,1,4,23,Non-Travel,26515,INR,13,3,2,1,1,Yes,5,Job Portal,Hybrid,6,3,0,1,Average,1,21,Yes
395,Linda Clark,60,Male,Single,Sales,Sales Manager,Master's,Technical Degree,4,2,0,12,Non-Travel,85449,INR,14,3,2,4,4,No,3,Job Portal,Remote,4,9,0,1,Excellent,2,4,No
396,Ravi Anderson,30,Female,Married,Human Resources,HR Manager,Bachelor's,Technical Degree,7,4,4,17,Travel_Rarely,96331,INR,14,3,1,4,2,Yes,2,LinkedIn,Hybrid,5,3,4,3,Excellent,1,11,Yes
397,Nia Johnson,33,Female,Married,Research & Development,Research Scientist,PhD,Medical,1,0,4,14,Travel_Rarely,51127,INR,21,3,3,3,4,No,4,Job Portal,On-site,5,6,0,0,Good,1,11,No
398,Olga Nair,37,Female,Married,Finance,Financial Analyst,Bachelor's,Marketing,5,2,3,23,Travel_Rarely,47279,INR,24,3,3,4,3,No,1,Walk-in,Remote,9,5,0,1,Good,3,12,No
399,Robert Martin,36,Female,Married,Sales,Sales Representative,Master's,Technical Degree,2,1,1,9,Travel_Frequently,20381,INR,23,3,4,3,3,No,5,LinkedIn,On-site,5,4,2,0,Average,1,7,No
400,Raj Davis,44,Female,Divorced,Sales,Sales Executive,Master's,Technical Degree,5,3,3,10,Travel_Rarely,34188,INR,11,3,4,4,3,No,2,Referral,On-site,8,7,0,1,Good,1,9,No
401,Fatima Wilson,45,Male,Divorced,IT,Software Engineer,PhD,Other,4,2,0,7,Travel_Rarely,78594,INR,14,3,3,3,3,No,4,LinkedIn,On-site,5,6,1,2,Average,1,5,No
402,Mary Lee,57,Female,Married,IT,Data Analyst,Bachelor's,Life Sciences,19,8,1,12,Travel_Rarely,91174,INR,19,3,1,2,3,Yes,2,Campus Hiring,On-site,12,5,2,5,Good,2,8,Yes
403,Neha Davis,53,Male,Married,Finance,Finance Manager,Bachelor's,Medical,1,0,2,12,Travel_Rarely,81320,INR,12,4,2,3,2,No,2,Referral,On-site,4,5,0,1,Good,3,13,No
404,Mary Kim,35,Male,Married,IT,System Administrator,High School,Technical Degree,13,10,3,10,Travel_Rarely,55264,INR,20,3,3,4,4,No,5,LinkedIn,On-site,12,4,2,4,Good,2,23,No
405,Aisha Wilson,28,Female,Single,Sales,Sales Manager,Bachelor's,Other,2,1,0,9,Travel_Rarely,73410,INR,17,3,2,4,4,Yes,2,Consultancy,On-site,2,2,2,0,Good,0,5,No
406,Fatima Rodriguez,27,Male,Single,IT,System Administrator,High School,Medical,5,3,0,13,Travel_Rarely,36527,INR,15,4,1,4,4,No,1,Job Portal,Hybrid,4,5,0,2,Average,2,13,No
407,Lucy Lee,30,Male,Single,IT,System Administrator,High School,Marketing,12,5,3,29,Travel_Rarely,54562,INR,15,3,3,2,4,No,5,Walk-in,Remote,9,3,6,4,Good,3,24,No
408,Mary Nair,31,Male,Married,Sales,Sales Manager,High School,Human Resources,4,1,1,19,Travel_Frequently,73447,INR,15,3,3,2,1,Yes,4,Job Portal,Hybrid,6,0,4,1,Good,1,21,Yes
409,Aisha Kumar,27,Male,Married,Research & Development,R&D Manager,High School,Human Resources,0,0,3,14,Travel_Rarely,90419,INR,17,3,3,4,3,Yes,5,Campus Hiring,On-site,0,5,0,1,Good,1,9,No
410,Nia Nair,47,Male,Married,Marketing,Content Strategist,High School,Human Resources,0,0,0,15,Non-Travel,27318,INR,12,4,1,3,3,Yes,1,Campus Hiring,Hybrid,3,6,0,0,Average,2,17,Yes
411,Raj Kumar,20,Male,Married,IT,IT Support,Bachelor's,Marketing,1,0,2,1,Travel_Rarely,18687,INR,19,3,1,2,2,No,5,Campus Hiring,Hybrid,8,4,1,1,Excellent,3,7,Yes
412,Aisha Kim,40,Male,Married,Human Resources,HR Recruiter,Bachelor's,Life Sciences,2,1,0,7,Travel_Frequently,20542,INR,12,3,4,3,2,No,1,LinkedIn,Hybrid,4,3,2,0,Good,2,11,No
413,Sofia Smith,38,Female,Single,Human Resources,HR Manager,Master's,Marketing,1,0,2,6,Travel_Rarely,74702,INR,20,3,1,1,2,Yes,4,Walk-in,On-site,4,3,1,1,Good,3,21,Yes
414,Lucy Gupta,32,Female,Single,Research & Development,Manufacturing Director,Master's,Technical Degree,2,1,2,16,Travel_Frequently,195708,INR,21,3,3,3,1,Yes,0,LinkedIn,On-site,3,9,0,1,Excellent,1,21,No
415,Linda Smith,42,Female,Married,Marketing,Marketing Manager,Bachelor's,Other,15,9,3,19,Travel_Rarely,136953,INR,14,3,3,1,1,No,1,Consultancy,On-site,9,5,0,5,Needs Improvement,0,12,No
416,Robert Anderson,32,Male,Married,Research & Development,R&D Manager,Bachelor's,Technical Degree,2,1,3,21,Travel_Rarely,122908,INR,12,3,3,4,4,No,3,Job Portal,Hybrid,5,6,2,1,Needs Improvement,1,22,No
417,Tom Anderson,24,Male,Married,IT,Data Analyst,High School,Other,2,1,2,26,Non-Travel,38740,INR,12,3,4,2,3,No,3,Walk-in,Remote,9,7,0,1,Average,2,12,No
418,Lucy Sharma,20,Female,Divorced,Human Resources,HR Recruiter,Bachelor's,Technical Degree,2,1,0,23,Travel_Rarely,20532,INR,13,3,4,1,1,Yes,5,Walk-in,Remote,8,5,2,1,Average,1,19,No
419,Wei Wilson,35,Male,Married,Sales,Sales Representative,Bachelor's,Technical Degree,2,1,2,3,Non-Travel,17966,INR,24,3,3,4,2,No,4,Job Portal,Hybrid,8,2,1,1,Good,1,16,No
420,Tom Smith,33,Male,Married,Sales,Sales Representative,High School,Technical Degree,8,3,1,16,Non-Travel,22571,INR,20,4,1,3,1,Yes,2,Referral,Remote,10,9,0,2,Good,1,9,Yes
421,Chen Rodriguez,29,Male,Single,Research & Development,R&D Manager,Master's,Other,11,8,1,26,Travel_Frequently,207186,INR,14,3,4,3,4,No,5,Referral,Hybrid,9,6,2,3,Good,2,14,No
